====== Ar (10) into Layer 1                     =======
        SRIM-2013.00
=====================================
       LATERAL SPREAD OF IONS        
 See SRIM Outputs\TDATA.txt for calc. details   
Ì===================================Ê===================================
  NOTE : The Projected LATERAL Spread is based on a projection on a     
  plane- just the way the XY or XZ displays look on the screen.  The    
  Lateral Projected Range is defined as the average of the absolute     
  values of the projected lateral displacements from the X-axis.        
  One use of this range: If a mask covers half of a target, the lateral 
  range is the distance under the mask where the concentration drops to 
  25% (at the mask edge the concentration= 50% of the uniform value).   
                                                                        
  The Radial Range is the mean radial displacement range from the       
  X-axis a-uming cylindrical symmetry.                                 
========================================================================
====== TRIM Calc.= Ar(49.4 keV) ==> Layer 1(  1 mm) ==========================
------------------------------------------------------------------------------
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file: SRIM Outputs\TDATA.txt for data about the calculation
 Ion    = Ar   Energy = 49.41713 keV
 Total Ions calculated =10000.00
============= TARGET MATERIAL ======================================
Layer  1 : Layer 1
Layer Width = 10000.E+03 AAA ;
  Layer # 1- Density = 2.689E19 atoms/cm3 = .0017 g/cm3
  Layer # 1- Ar = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Ion Average Range = 996077.E+00 A   Straggling = 451684.E+00 A
 Ion Lateral Range = 312343.E+00 A   Straggling = 400358.E+00 A
 Ion Radial  Range = 486531.E+00 A   Straggling = 282447.E+00 A
====================================================================
                LATERAL     Projected      LATERAL        Radial    
  TARGET       PROJ.RANGE   Straggling      RADIAL      Straggling  
  DEPTH (A)   (Angstroms)   (Angstroms)   (Angstroms)   (Angstroms) 
------------ ------------- ------------- ------------- -------------
1000000.E-01 18130944.E-02 23796648.E-02 29275780.E-02 22729794.E-02 
2000000.E-01 20812331.E-02 28840115.E-02 34935416.E-02 24450734.E-02 
3000000.E-01 22422765.E-02 29889650.E-02 35321899.E-02 24623094.E-02 
4000000.E-01 24688322.E-02 32443937.E-02 37373599.E-02 23959235.E-02 
5000000.E-01 26020103.E-02 33385895.E-02 40310294.E-02 25366068.E-02 
6000000.E-01 26759953.E-02 35108939.E-02 42817726.E-02 25126144.E-02 
7000000.E-01 28992579.E-02 37278305.E-02 44438889.E-02 26288763.E-02 
8000000.E-01 29638382.E-02 38348866.E-02 45907696.E-02 27194001.E-02 
9000000.E-01 30722799.E-02 39388054.E-02 47553437.E-02 27395182.E-02 
1000000.E+00 33050214.E-02 41359202.E-02 49488410.E-02 27786048.E-02 
1100000.E+00 32598807.E-02 41464396.E-02 51289836.E-02 28372014.E-02 
