====== Ar (10) into Layer 1                     =======
        SRIM-2013.00
=====================================
       LATERAL SPREAD OF IONS        
 See SRIM Outputs\TDATA.txt for calc. details   
Ì===================================Ê===================================
  NOTE : The Projected LATERAL Spread is based on a projection on a     
  plane- just the way the XY or XZ displays look on the screen.  The    
  Lateral Projected Range is defined as the average of the absolute     
  values of the projected lateral displacements from the X-axis.        
  One use of this range: If a mask covers half of a target, the lateral 
  range is the distance under the mask where the concentration drops to 
  25% (at the mask edge the concentration= 50% of the uniform value).   
                                                                        
  The Radial Range is the mean radial displacement range from the       
  X-axis a-uming cylindrical symmetry.                                 
========================================================================
====== TRIM Calc.= Ar(10 keV) ==> Layer 1(  1 mm) ============================
------------------------------------------------------------------------------
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file: SRIM Outputs\TDATA.txt for data about the calculation
 Ion    = Ar   Energy = 10 keV
 Total Ions calculated =10000.00
============= TARGET MATERIAL ======================================
Layer  1 : Layer 1
Layer Width = 10000.E+03 AAA ;
  Layer # 1- Density = 2.689E19 atoms/cm3 = .0017 g/cm3
  Layer # 1- Ar = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Ion Average Range = 256761.E+00 A   Straggling = 129214.E+00 A
 Ion Lateral Range = 882797.E-01 A   Straggling = 114535.E+00 A
 Ion Radial  Range = 138840.E+00 A   Straggling = 827169.E-01 A
====================================================================
                LATERAL     Projected      LATERAL        Radial    
  TARGET       PROJ.RANGE   Straggling      RADIAL      Straggling  
  DEPTH (A)   (Angstroms)   (Angstroms)   (Angstroms)   (Angstroms) 
------------ ------------- ------------- ------------- -------------
1000000.E-01 65892501.E-03 90139328.E-03 10270276.E-02 72223800.E-03 
2000000.E-01 78128403.E-03 10192827.E-02 12392709.E-02 75481145.E-03 
3000000.E-01 89580998.E-03 11496951.E-02 14033427.E-02 79999568.E-03 
4000000.E-01 10056780.E-02 12733112.E-02 15652498.E-02 84924529.E-03 
5000000.E-01 10147526.E-02 12943874.E-02 16342078.E-02 89856081.E-03 
6000000.E-01 10999325.E-02 13795468.E-02 17057236.E-02 90348408.E-03 
7000000.E-01 10124724.E-02 12955538.E-02 16173248.E-02 88322735.E-03 
8000000.E-01 81497454.E-03 93242998.E-03 14024501.E-02 80228515.E-03 
9000000.E-01 50151140.E-03 58910944.E-03 11263630.E-02 73858151.E-03 
1000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1100000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
