====== Ar (10) into Layer 1                     =======
        SRIM-2013.00
=====================================
       LATERAL SPREAD OF IONS        
 See SRIM Outputs\TDATA.txt for calc. details   
Ì===================================Ê===================================
  NOTE : The Projected LATERAL Spread is based on a projection on a     
  plane- just the way the XY or XZ displays look on the screen.  The    
  Lateral Projected Range is defined as the average of the absolute     
  values of the projected lateral displacements from the X-axis.        
  One use of this range: If a mask covers half of a target, the lateral 
  range is the distance under the mask where the concentration drops to 
  25% (at the mask edge the concentration= 50% of the uniform value).   
                                                                        
  The Radial Range is the mean radial displacement range from the       
  X-axis a-uming cylindrical symmetry.                                 
========================================================================
====== TRIM Calc.= Ar(244. keV) ==> Layer 1(  1 mm) ==========================
------------------------------------------------------------------------------
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file: SRIM Outputs\TDATA.txt for data about the calculation
 Ion    = Ar   Energy = 244.2053 keV
 Total Ions calculated =10000.00
============= TARGET MATERIAL ======================================
Layer  1 : Layer 1
Layer Width = 10000.E+03 AAA ;
  Layer # 1- Density = 2.689E19 atoms/cm3 = .0017 g/cm3
  Layer # 1- Ar = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Ion Average Range = 494457.E+01 A   Straggling = 173334.E+01 A
 Ion Lateral Range = 128596.E+01 A   Straggling = 162756.E+01 A
 Ion Radial  Range = 200274.E+01 A   Straggling = 108484.E+01 A
====================================================================
                LATERAL     Projected      LATERAL        Radial    
  TARGET       PROJ.RANGE   Straggling      RADIAL      Straggling  
  DEPTH (A)   (Angstroms)   (Angstroms)   (Angstroms)   (Angstroms) 
------------ ------------- ------------- ------------- -------------
1000000.E-01 75769102.E-02 93953471.E-02 12026021.E-01 39848141.E-02 
2000000.E-01 28957029.E-02 36057823.E-02 80791258.E-02 37989170.E-02 
3000000.E-01 70895973.E-02 95785052.E-02 83218153.E-02 63941669.E-02 
4000000.E-01 36609514.E-02 54231088.E-02 80279806.E-02 72156239.E-02 
5000000.E-01 10812834.E-01 15348573.E-01 13007824.E-01 10905029.E-01 
6000000.E-01 72397725.E-02 90112983.E-02 10784192.E-01 67137030.E-02 
7000000.E-01 83835207.E-02 10519328.E-01 12496472.E-01 90017248.E-02 
8000000.E-01 95108164.E-02 12522355.E-01 14767351.E-01 94201012.E-02 
9000000.E-01 87042081.E-02 11071885.E-01 12704724.E-01 94968219.E-02 
1000000.E+00 82692224.E-02 12119183.E-01 15299564.E-01 98944177.E-02 
1100000.E+00 98648319.E-02 13025423.E-01 12742268.E-01 89439856.E-02 
