====== Ar (10) into Layer 1                     =======
        SRIM-2013.00
=====================================
       LATERAL SPREAD OF IONS        
 See SRIM Outputs\TDATA.txt for calc. details   
Ì===================================Ê===================================
  NOTE : The Projected LATERAL Spread is based on a projection on a     
  plane- just the way the XY or XZ displays look on the screen.  The    
  Lateral Projected Range is defined as the average of the absolute     
  values of the projected lateral displacements from the X-axis.        
  One use of this range: If a mask covers half of a target, the lateral 
  range is the distance under the mask where the concentration drops to 
  25% (at the mask edge the concentration= 50% of the uniform value).   
                                                                        
  The Radial Range is the mean radial displacement range from the       
  X-axis a-uming cylindrical symmetry.                                 
========================================================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file: SRIM Outputs\TDATA.txt for data about the calculation
 Ion    = Ar   Energy = 268.27 keV
 Total Ions calculated =10000.00
============= TARGET MATERIAL ======================================
Layer  1 : Layer 1
Layer Width = 10000.E+03 AAA ;
  Layer # 1- Density = 2.689E19 atoms/cm3 = .0017 g/cm3
  Layer # 1- Ar = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Ion Average Range = 542287.E+01 A   Straggling = 186457.E+01 A
 Ion Lateral Range = 139361.E+01 A   Straggling = 175216.E+01 A
 Ion Radial  Range = 218340.E+01 A   Straggling = 117820.E+01 A
====================================================================
                LATERAL     Projected      LATERAL        Radial    
  TARGET       PROJ.RANGE   Straggling      RADIAL      Straggling  
  DEPTH (A)   (Angstroms)   (Angstroms)   (Angstroms)   (Angstroms) 
------------ ------------- ------------- ------------- -------------
1000000.E-01 34732244.E-02 34732244.E-02 82748973.E-02 00000000.E+00 
2000000.E-01 76700139.E-02 10619742.E-01 12212013.E-01 68075510.E-02 
3000000.E-01 46427453.E-02 52982103.E-02 10559599.E-01 13122308.E-01 
4000000.E-01 42796092.E-02 53424831.E-02 69048903.E-02 38462262.E-02 
5000000.E-01 59520171.E-02 75837097.E-02 11859828.E-01 50022393.E-02 
6000000.E-01 95548910.E-02 11980214.E-01 14318432.E-01 73001591.E-02 
7000000.E-01 62669373.E-02 91474954.E-02 13631848.E-01 14219728.E-01 
8000000.E-01 12725501.E-01 16170753.E-01 16650805.E-01 92671840.E-02 
9000000.E-01 69789964.E-02 93375377.E-02 11118761.E-01 75337723.E-02 
1000000.E+00 11225488.E-01 13173635.E-01 17115863.E-01 12048242.E-01 
1100000.E+00 74208003.E-02 10893205.E-01 10547471.E-01 10647805.E-01 
1200000.E+00 11788792.E-01 17510567.E-01 17440187.E-01 13103899.E-01 
