====== Ar (10) into Layer 1                     =======
        SRIM-2013.00
=====================================
       LATERAL SPREAD OF IONS        
 See SRIM Outputs\TDATA.txt for calc. details   
Ì===================================Ê===================================
  NOTE : The Projected LATERAL Spread is based on a projection on a     
  plane- just the way the XY or XZ displays look on the screen.  The    
  Lateral Projected Range is defined as the average of the absolute     
  values of the projected lateral displacements from the X-axis.        
  One use of this range: If a mask covers half of a target, the lateral 
  range is the distance under the mask where the concentration drops to 
  25% (at the mask edge the concentration= 50% of the uniform value).   
                                                                        
  The Radial Range is the mean radial displacement range from the       
  X-axis a-uming cylindrical symmetry.                                 
========================================================================
====== TRIM Calc.= Ar(1 MeV) ==> Layer 1(  5 mm) =============================
------------------------------------------------------------------------------
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file: SRIM Outputs\TDATA.txt for data about the calculation
 Ion    = Ar   Energy = 1000 keV
 Total Ions calculated =10000.00
============= TARGET MATERIAL ======================================
Layer  1 : Layer 1
Layer Width = 50000.E+03 AAA ;
  Layer # 1- Density = 2.689E19 atoms/cm3 = .0017 g/cm3
  Layer # 1- Ar = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Ion Average Range = 178713.E+02 A   Straggling = 402039.E+01 A
 Ion Lateral Range = 348183.E+01 A   Straggling = 436412.E+01 A
 Ion Radial  Range = 545894.E+01 A   Straggling = 283782.E+01 A
====================================================================
                LATERAL     Projected      LATERAL        Radial    
  TARGET       PROJ.RANGE   Straggling      RADIAL      Straggling  
  DEPTH (A)   (Angstroms)   (Angstroms)   (Angstroms)   (Angstroms) 
------------ ------------- ------------- ------------- -------------
5000000.E-01 17682496.E-02 17682496.E-02 23016427.E-02 00000000.E+00 
1000000.E+00 47443037.E-01 59725766.E-01 60820335.E-01 39525099.E-01 
1500000.E+00 13455084.E-01 18678693.E-01 16305475.E-01 14579782.E-01 
2000000.E+00 11234348.E-01 12800387.E-01 25376909.E-01 15390436.E-01 
2500000.E+00 25986545.E-01 30564034.E-01 42518978.E-01 26373190.E-01 
3000000.E+00 59217754.E-01 69533904.E-01 64538243.E-01 39338468.E-01 
3500000.E+00 27825099.E-01 41385999.E-01 33079274.E-01 33064298.E-01 
4000000.E+00 29234621.E-01 38199425.E-01 44775044.E-01 36000676.E-01 
4500000.E+00 21535088.E-01 27458437.E-01 42111414.E-01 26533303.E-01 
5000000.E+00 39560063.E-01 48016656.E-01 59360742.E-01 36530689.E-01 
5500000.E+00 29426708.E-01 35825498.E-01 54768626.E-01 28117909.E-01 
6000000.E+00 29629573.E-01 42900937.E-01 57766774.E-01 33907785.E-01 
6500000.E+00 44490477.E-01 56464362.E-01 59192120.E-01 33194481.E-01 
7000000.E+00 31336662.E-01 39863511.E-01 47499526.E-01 28955120.E-01 
7500000.E+00 28833060.E-01 35143072.E-01 47658651.E-01 24819588.E-01 
8000000.E+00 39939475.E-01 51211059.E-01 67975810.E-01 37798388.E-01 
8500000.E+00 39242065.E-01 45760091.E-01 56965073.E-01 26908022.E-01 
9000000.E+00 35364357.E-01 45508812.E-01 51976627.E-01 32469524.E-01 
9500000.E+00 38347271.E-01 52036146.E-01 59627468.E-01 39448887.E-01 
1000000.E+01 37810885.E-01 47559120.E-01 58638632.E-01 31022437.E-01 
1050000.E+01 36897200.E-01 46820071.E-01 59025728.E-01 28044811.E-01 
1100000.E+01 39684078.E-01 49552476.E-01 59082321.E-01 31869244.E-01 
1150000.E+01 40332027.E-01 50996271.E-01 61371424.E-01 32431017.E-01 
1200000.E+01 40142628.E-01 49381686.E-01 60999336.E-01 31406766.E-01 
1250000.E+01 38668277.E-01 48962575.E-01 62261933.E-01 31832555.E-01 
1300000.E+01 39264425.E-01 49711686.E-01 62779512.E-01 30844174.E-01 
1350000.E+01 35224894.E-01 45683277.E-01 55631144.E-01 32224590.E-01 
1400000.E+01 37663450.E-01 47657015.E-01 59582811.E-01 31702331.E-01 
1450000.E+01 38033385.E-01 47206112.E-01 60660287.E-01 28446341.E-01 
1500000.E+01 40752964.E-01 49358705.E-01 59643746.E-01 29597181.E-01 
1550000.E+01 36108062.E-01 44943709.E-01 56742533.E-01 27595351.E-01 
1600000.E+01 36940424.E-01 46607132.E-01 57991486.E-01 31333382.E-01 
1650000.E+01 39269127.E-01 49123154.E-01 58973124.E-01 31338068.E-01 
1700000.E+01 37110907.E-01 46347920.E-01 59435920.E-01 30735580.E-01 
1750000.E+01 39322078.E-01 47871020.E-01 58286736.E-01 27739229.E-01 
1800000.E+01 33861883.E-01 43074127.E-01 56133087.E-01 28576425.E-01 
1850000.E+01 35132512.E-01 43858306.E-01 56328052.E-01 28942525.E-01 
1900000.E+01 36203622.E-01 44949799.E-01 55951934.E-01 27768171.E-01 
1950000.E+01 34540358.E-01 42681097.E-01 53644607.E-01 27065041.E-01 
2000000.E+01 32910192.E-01 41227725.E-01 53780314.E-01 26360267.E-01 
2050000.E+01 34666528.E-01 42307426.E-01 53452703.E-01 25224658.E-01 
2100000.E+01 31254432.E-01 38555047.E-01 50486350.E-01 25301922.E-01 
2150000.E+01 32319502.E-01 40505495.E-01 50670293.E-01 26003730.E-01 
2200000.E+01 32715899.E-01 40233286.E-01 50462663.E-01 24634049.E-01 
2250000.E+01 30625814.E-01 37116954.E-01 46957352.E-01 22619697.E-01 
2300000.E+01 29457300.E-01 35920496.E-01 46023283.E-01 22560846.E-01 
2350000.E+01 28913538.E-01 36325519.E-01 44782022.E-01 23709933.E-01 
2400000.E+01 27198116.E-01 34564713.E-01 46477601.E-01 22835691.E-01 
2450000.E+01 29676669.E-01 38235336.E-01 47360956.E-01 23304364.E-01 
2500000.E+01 27608595.E-01 34379497.E-01 44090545.E-01 24607969.E-01 
2550000.E+01 25085652.E-01 32117438.E-01 38426688.E-01 22638063.E-01 
2600000.E+01 21911652.E-01 26983533.E-01 37125857.E-01 14388600.E-01 
2650000.E+01 26451298.E-01 36385359.E-01 44990695.E-01 22623910.E-01 
2700000.E+01 20128316.E-01 24133234.E-01 32096547.E-01 13394089.E-01 
2750000.E+01 21119461.E-01 21119461.E-01 29646996.E-01 00000000.E+00 
2800000.E+01 31803325.E-01 36347956.E-01 59447861.E-01 14863122.E-01 
2850000.E+01 25404956.E-01 29023461.E-01 51367721.E-01 54322607.E-02 
2900000.E+01 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
2950000.E+01 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
3000000.E+01 21821419.E-01 21821419.E-01 55055182.E-01 00000000.E+00 
3050000.E+01 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
3100000.E+01 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
3150000.E+01 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
3200000.E+01 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
3250000.E+01 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
3300000.E+01 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
3350000.E+01 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
3400000.E+01 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
3450000.E+01 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
3500000.E+01 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
3550000.E+01 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
3600000.E+01 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
3650000.E+01 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
3700000.E+01 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
3750000.E+01 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
3800000.E+01 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
3850000.E+01 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
3900000.E+01 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
3950000.E+01 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
4000000.E+01 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
4050000.E+01 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
4100000.E+01 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
4150000.E+01 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
4200000.E+01 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
4250000.E+01 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
4300000.E+01 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
4350000.E+01 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
4400000.E+01 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
4450000.E+01 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
4500000.E+01 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
4550000.E+01 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
4600000.E+01 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
4650000.E+01 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
4700000.E+01 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
4750000.E+01 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
4800000.E+01 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
4850000.E+01 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
4900000.E+01 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
4950000.E+01 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
5000000.E+01 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
