============================== SRIM-2013.00 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion = Ar (18)   Ion Mass= 039.9620
Energy  = 3727594.E-05 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - Layer 1
  Layer # 1 - Bottom Depth=100000.E+02 A
  Layer # 1 - Density =0000.0018 g/cm3
  Layer # 1 -  100 % of Ar
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000001   4.9928E+05 -8.2518E+05  2.3823E+05
0000002   1.0726E+06  1.4042E+05  7.5363E+03
0000003   4.8388E+05  9.4009E+04  2.4480E+05
0000004   6.1432E+05 -4.7936E+05  1.0057E+05
0000005   1.2732E+06 -7.9068E+04 -1.9627E+05
0000006   5.9462E+05  1.9381E+05 -1.7671E+05
0000007   8.4578E+05 -8.9630E+05  8.4578E+05
0000008   1.2727E+06 -8.7730E+04  1.8811E+05
0000009   9.4469E+05  2.1742E+05 -1.1212E+05
0000010   7.0083E+05  2.3185E+05 -3.7987E+05
0000011   1.0710E+06 -1.8491E+05  4.5822E+05
0000012   4.4212E+05 -1.0623E+05  2.6132E+05
0000013   7.3251E+05  4.4926E+05 -8.9343E+04
0000014   5.5747E+05  1.1370E+05  6.6913E+04
0000015   1.2048E+06  3.0476E+05  5.8222E+05
0000016   1.4424E+06 -4.2023E+05 -1.3644E+05
0000017   3.8487E+05  3.0518E+05  2.2794E+04
0000018   4.1133E+05 -4.6143E+05 -1.8236E+05
0000019   6.1577E+05  5.0343E+05  3.2425E+05
0000020   8.3880E+05 -2.9678E+05 -2.1945E+05
0000021   8.1466E+05  5.1076E+05 -2.6070E+05
0000022   3.2014E+05 -1.4719E+05  2.4528E+05
0000023   6.5075E+05 -2.7388E+05  3.6154E+04
0000024   3.3222E+05 -1.0419E+06  4.7982E+04
0000025   1.0659E+06  2.2007E+05 -3.2070E+05
0000026   2.6617E+05  2.2090E+05  1.8014E+05
0000027   9.5484E+05 -2.3251E+05 -1.0371E+05
0000028   4.7082E+05  7.7744E+04 -3.2093E+05
0000029   3.2072E+05  5.0309E+03 -1.6199E+04
0000030   5.5797E+05 -1.0264E+05  2.0505E+05
0000031   7.7504E+05 -3.7180E+05  3.5844E+05
0000032   2.1547E+05 -1.0166E+05 -2.2851E+04
0000033   2.9783E+05 -2.1276E+05  2.4323E+05
0000034   9.0597E+04  3.4800E+05 -5.2583E+05
0000035   5.6432E+05  2.0908E+04  1.2090E+04
0000036   1.6899E+06  9.9267E+04 -7.3236E+05
0000037   6.0069E+05  4.8827E+05  2.2044E+04
0000038   1.1597E+06  3.3677E+04 -3.6756E+05
0000039   1.2869E+06 -1.5906E+03 -5.8296E+05
0000040   4.7122E+05  2.1503E+05  1.2686E+05
0000041   4.8491E+05 -3.7509E+05  3.7715E+05
0000042   1.1301E+06 -4.8534E+04  4.1635E+04
0000043   5.0371E+05 -3.0459E+04  4.3202E+04
0000044   1.3954E+05  2.1002E+05 -7.4031E+03
0000045   4.2213E+05  7.7597E+04  2.0439E+05
0000046   2.3339E+05 -2.0895E+05  2.1905E+05
0000047   4.8546E+05 -1.3693E+05 -3.6333E+04
0000048   1.4758E+06 -2.0383E+05 -2.5680E+05
0000049   8.2068E+05  7.1801E+05 -7.4843E+05
0000050   1.3235E+06 -4.6262E+05  2.5503E+04
0000051   1.0146E+06  2.1214E+04  5.0422E+04
0000052   1.5169E+06 -4.9029E+04 -3.8131E+05
0000053   5.2497E+05 -2.1119E+05 -3.5468E+05
0000054   8.5420E+05  5.2218E+05 -1.1198E+05
0000055   7.4612E+05  2.0287E+05  5.1059E+05
0000056   3.7753E+05  5.4677E+04 -2.0197E+05
0000057   3.2452E+05 -7.7771E+05  4.3888E+05
0000058   7.3886E+05 -9.2338E+04 -9.6851E+04
0000059   7.1397E+05  2.3740E+05  2.8055E+05
0000060   8.6359E+05  2.3603E+04  1.7467E+05
0000061   1.4137E+06 -2.3078E+05  5.3465E+05
0000062   4.4022E+05  4.0586E+05  4.7326E+04
0000063   7.1931E+05  5.5633E+05  6.8327E+05
0000064   8.2194E+05 -3.9470E+05  3.2110E+05
0000065   1.2340E+06  4.9826E+05 -6.1753E+04
0000066   8.4737E+05  4.6635E+04  1.4661E+05
0000067   1.9250E+06  3.4862E+04 -1.3354E+05
0000068   8.7168E+05  4.3551E+05 -1.5989E+05
0000069   5.8077E+05  3.8733E+05  7.6112E+05
0000070   9.6465E+05 -2.3974E+05 -2.3626E+05
0000071   3.7005E+05  1.0423E+05 -3.3211E+05
0000072   1.0389E+06  6.4692E+05  1.4643E+05
0000073   7.2764E+05 -1.0021E+06 -8.6917E+04
0000074   6.0829E+05 -5.8850E+05  1.9717E+05
0000075   5.3671E+05 -2.3361E+05 -4.3638E+05
0000076   8.4555E+05 -1.6871E+05 -3.2869E+04
0000077   5.2267E+05  1.1534E+04  3.1610E+05
0000078   5.8982E+05 -1.0642E+05  1.5588E+05
0000079   6.2619E+05 -4.7861E+05 -1.7068E+05
0000080   1.3561E+06  6.3133E+04 -3.0861E+05
0000081   1.3004E+06  2.1972E+05  3.8532E+04
0000082   8.9471E+05  2.5884E+05  3.8891E+03
0000083   9.7718E+05  1.2161E+05  2.2209E+05
0000084   6.4071E+05  1.8434E+05 -3.8971E+05
0000085   7.4919E+05 -1.4799E+05 -7.2209E+05
0000086   8.7551E+05 -2.7747E+05 -6.7313E+04
0000087   8.9809E+05  2.4561E+05  5.8618E+04
0000088   6.2797E+05  2.0424E+05 -2.6610E+05
0000089   7.3913E+05  1.9780E+05  7.2207E+04
0000090   9.6012E+05 -2.1761E+05  1.6103E+05
0000091   1.0896E+06 -2.4200E+05 -1.0000E+05
0000092   3.1398E+05 -1.2250E+04  1.7587E+05
0000093   4.0931E+05 -2.0494E+05 -2.6877E+05
0000094   1.1502E+06 -1.6107E+05 -3.1859E+05
0000095   9.9766E+05  3.2627E+05 -3.8964E+04
0000096   7.5275E+05  2.9163E+05 -3.8612E+05
0000097   9.5783E+05 -3.9066E+05  6.1023E+05
0000098   6.2354E+05 -1.5565E+05  6.6351E+04
0000099   5.0758E+05 -1.0701E+05  1.0126E+05
0000100   1.4968E+06 -8.8346E+05 -3.5105E+04
0000101   1.7894E+06  3.7341E+05 -6.3498E+04
0000102   5.3436E+05  3.3786E+03 -2.4573E+05
0000103   5.2678E+05  2.5749E+05  4.5699E+05
0000104   8.1870E+05 -1.3192E+04 -1.2828E+05
0000105   4.0737E+05 -5.4585E+04  1.6755E+05
0000106   1.2662E+06 -3.9826E+05  7.5754E+03
