============================== SRIM-2013.00 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion = Ar (18)   Ion Mass= 039.9620
Energy  = 1526417.E-04 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - Layer 1
  Layer # 1 - Bottom Depth=500000.E+02 A
  Layer # 1 - Density =0000.0036 g/cm3
  Layer # 1 -  100 % of Ar
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000001   1.7111E+06  1.0057E+06 -1.7192E+05
0000002   1.1039E+06  2.3214E+05 -1.7716E+05
0000003   1.3694E+06  6.3906E+04 -1.6976E+05
0000004   2.6998E+06  1.6034E+05  3.7272E+05
0000005   1.2754E+06  3.9186E+05 -1.2976E+06
0000006   1.6542E+06 -8.9963E+05 -1.5701E+04
0000007   1.8325E+06  2.1125E+05  2.5467E+05
0000008   1.4866E+06 -6.1061E+05  5.2660E+05
0000009   1.1443E+06 -1.5479E+06 -1.8559E+05
0000010   1.0436E+06  1.2033E+03  4.7039E+05
0000011   1.8288E+06 -6.4136E+05 -3.2497E+05
0000012   4.8669E+05  3.0421E+05 -3.1500E+05
0000013   4.3140E+05 -3.4868E+05  2.7113E+05
0000014   2.7235E+05  2.0374E+05 -8.6441E+04
0000015   1.1078E+06 -1.2096E+05 -2.4891E+05
0000016   1.7739E+06  8.8118E+05 -5.8421E+05
0000017   1.3225E+06  1.5492E+05  7.3228E+05
0000018   1.9380E+06  4.4402E+05  4.0031E+05
0000019   1.5879E+06  4.5353E+05 -2.6874E+05
0000020   2.4216E+06  4.8604E+05  8.6195E+05
0000021   1.3010E+06 -1.3751E+06 -2.8154E+05
0000022   1.9026E+06  9.3586E+05 -5.3137E+05
0000023   2.3293E+06  9.7304E+05 -3.1770E+05
0000024   6.7982E+05 -1.7888E+05 -2.8678E+05
0000025   1.7318E+06  7.7196E+05 -8.2511E+05
0000026   1.3933E+06  8.2010E+05  2.8146E+05
0000027   1.7644E+06  7.2410E+05  7.1581E+05
0000028   1.5025E+06 -3.1922E+05  4.7952E+05
0000029   2.6281E+06  5.8273E+04 -6.1745E+05
0000030   2.0763E+05 -4.7635E+05  4.2042E+05
0000031   1.2121E+06 -3.7039E+05 -4.6061E+05
0000032   1.5117E+06 -3.7087E+05 -3.9588E+05
0000033   1.2565E+06 -1.3011E+06 -2.8151E+05
0000034   1.7228E+06 -4.0597E+05  2.8914E+05
0000035   2.0382E+06 -4.3351E+05 -5.6318E+05
0000036   1.7174E+06  1.9645E+05 -2.4037E+05
0000037   1.5432E+06  1.4944E+05  1.1995E+06
0000038   1.4047E+06  4.7097E+05  8.3897E+05
0000039   1.1713E+06 -1.1666E+05  7.1078E+04
0000040   1.0223E+06  4.8399E+05  7.4716E+05
0000041   9.2565E+05 -1.1143E+05 -4.7279E+05
0000042   1.6205E+06 -2.1734E+05  5.8534E+05
0000043   1.5961E+06  3.5837E+05 -1.1084E+06
0000044   1.7260E+06 -5.2371E+05  7.8906E+05
0000045   1.3470E+06 -6.3711E+04  4.1871E+05
0000046   7.9747E+05  6.5295E+05 -1.0435E+05
0000047   2.5552E+06 -9.6858E+04 -3.8684E+05
0000048   1.3637E+06 -9.5282E+05  9.1364E+03
0000049   1.3011E+06 -8.3963E+05 -4.3646E+05
0000050   8.2656E+05 -3.9352E+04 -1.3703E+06
0000051   2.3896E+06 -3.1520E+04 -1.2077E+05
0000052   5.0528E+05 -3.0052E+05  3.0798E+05
0000053   9.8819E+05  3.1871E+05 -9.2259E+04
0000054   1.1504E+06  1.1375E+05 -9.8754E+04
0000055   1.3540E+06 -2.5168E+05 -2.2768E+05
0000056   1.2176E+06  2.2132E+05 -1.9533E+05
0000057   1.6273E+06 -4.2832E+04 -2.9206E+05
0000058   2.4718E+06  8.9765E+04 -9.0216E+05
0000059   1.8175E+06  6.2013E+04  2.9733E+05
0000060   1.7305E+06 -2.2497E+05 -8.6383E+04
0000061   1.1459E+06  2.6645E+05 -7.0120E+05
0000062   1.3627E+06  3.7783E+05  7.8671E+04
0000063   1.3794E+06  1.2615E+05 -7.4954E+05
0000064   1.8495E+06 -4.7182E+05  2.4622E+05
0000065   3.8013E+05 -2.5093E+05 -8.3380E+04
0000066   2.6677E+06 -5.6896E+05  8.1866E+03
0000067   2.2286E+06  5.8477E+04 -2.9689E+05
0000069   2.8862E+06  2.1185E+05 -3.2811E+05
0000070   1.0178E+06 -3.4913E+05  9.8043E+05
0000071   1.9900E+06  5.1544E+05  1.7272E+04
0000072   1.4960E+06 -6.5021E+05  1.1445E+06
0000073   2.3389E+06 -3.4421E+05  4.5073E+05
0000074   1.2679E+06  1.1813E+06 -6.7962E+05
0000075   1.3148E+06 -6.0863E+05 -4.8932E+05
0000076   1.6555E+06 -2.5346E+05 -9.9532E+05
0000077   1.0935E+06 -8.2232E+05  1.8757E+05
0000078   1.6469E+06 -1.5888E+05  8.2229E+05
0000079   2.0907E+06 -3.6721E+05 -3.7682E+05
0000080   9.6366E+05 -4.6879E+03 -3.5633E+05
0000081   2.5121E+06 -6.2261E+04  3.3266E+05
0000082   1.1031E+06 -4.0287E+05 -4.8721E+05
0000083   1.9401E+06 -7.4755E+05 -8.2929E+05
0000084   8.3547E+05 -4.7479E+05  1.5229E+05
0000085   1.7632E+06 -5.0490E+04  5.5534E+05
0000086   1.8852E+06  6.4850E+05  7.8857E+05
0000087   1.3873E+06 -2.8158E+05  5.6354E+05
0000088   2.2765E+06 -4.1658E+04 -9.2108E+04
0000089   1.6229E+06 -1.7733E+05 -7.9938E+04
0000090   3.6215E+05  2.8908E+04  2.3835E+05
0000091   1.9873E+06  5.0023E+04  3.6923E+05
0000092   3.9178E+05  3.8926E+05  6.6428E+05
0000093   1.2157E+06  6.7239E+05  5.3308E+05
0000094   7.3432E+05  7.5511E+05  3.7593E+05
0000095   1.7185E+06 -4.2033E+05 -7.4904E+05
0000096   1.4371E+06 -7.9658E+05  2.5014E+05
0000097   6.4031E+05 -1.7454E+05  6.6432E+05
0000098   1.5277E+06 -8.1376E+05  1.7631E+05
0000099   8.6495E+05 -3.3435E+05 -1.8686E+05
0000100   1.1727E+06  1.9393E+05  1.5995E+06
0000101   1.7636E+06 -3.7984E+05  1.3031E+05
0000102   2.1367E+06  4.5840E+05  3.6025E+04
0000103   1.8805E+06  3.5556E+05 -4.7878E+05
0000104   1.9993E+06  5.6380E+05 -4.9170E+05
0000105   1.4128E+06 -7.3420E+04  1.2387E+05
0000106   2.2807E+06  5.3032E+05 -1.0403E+05
0000107   7.4881E+05 -8.4019E+04 -1.2229E+05
